system:index,VIIRS_NTL,date,station_id,.geo
9_4_0,78.13057708740234,2023-01-10,Kelapa_Gading,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90625617485397,-6.1557054844290215]}"
9_5_0,65.2310791015625,2023-01-10,Komp_Angkasa_Pura_Jakarta_Pusat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.84337410496559,-6.151213908008423]}"
9_6_0,41.746482849121094,2023-01-10,Lubang_Buaya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89727302201277,-6.303927506308742]}"
9_7_0,65.0400390625,2023-01-10,US_Consulate_Jakarta_Pusat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.838882528545,-6.182654942952607]}"
10_0_0,89.70681762695312,2023-01-11,Bundaran_Hotel_Indonesia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.8254077992832,-6.191638095793802]}"
10_1_0,44.00526428222656,2023-01-11,Jagakarsa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.8298993757038,-6.1557054844290215]}"
10_2_0,31.44776725769043,2023-01-11,Jalan_BDN_II,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.79845834075962,-6.281469624205754]}"
10_3_0,39.29667282104492,2023-01-11,Kebon_Jeruk,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.77150888223603,-6.200621248634997]}"
10_4_0,41.47153854370117,2023-01-11,Kelapa_Gading,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90625617485397,-6.1557054844290215]}"
10_5_0,54.234249114990234,2023-01-11,Komp_Angkasa_Pura_Jakarta_Pusat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.84337410496559,-6.151213908008423]}"
10_6_0,28.86043930053711,2023-01-11,Lubang_Buaya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89727302201277,-6.303927506308742]}"
10_7_0,48.9791145324707,2023-01-11,US_Consulate_Jakarta_Pusat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.838882528545,-6.182654942952607]}"
11_0_0,74.27564239501953,2023-01-12,Bundaran_Hotel_Indonesia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.8254077992832,-6.191638095793802]}"
11_1_0,48.11775588989258,2023-01-12,Jagakarsa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.8298993757038,-6.1557054844290215]}"
11_2_0,36.5793571472168,2023-01-12,Jalan_BDN_II,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.79845834075962,-6.281469624205754]}"
11_3_0,36.94966506958008,2023-01-12,Kebon_Jeruk,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.77150888223603,-6.200621248634997]}"
11_4_0,50.65571975708008,2023-01-12,Kelapa_Gading,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90625617485397,-6.1557054844290215]}"
11_5_0,76.34797668457031,2023-01-12,Komp_Angkasa_Pura_Jakarta_Pusat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.84337410496559,-6.151213908008423]}"
11_6_0,41.746482849121094,2023-01-12,Lubang_Buaya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89727302201277,-6.303927506308742]}"
11_7_0,65.0400390625,2023-01-12,US_Consulate_Jakarta_Pusat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.838882528545,-6.182654942952607]}"
12_0_0,74.27564239501953,2023-01-13,Bundaran_Hotel_Indonesia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.8254077992832,-6.191638095793802]}"
12_1_0,48.11775588989258,2023-01-13,Jagakarsa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.8298993757038,-6.1557054844290215]}"
12_2_0,36.5793571472168,2023-01-13,Jalan_BDN_II,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.79845834075962,-6.281469624205754]}"
12_3_0,36.94966506958008,2023-01-13,Kebon_Jeruk,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.77150888223603,-6.200621248634997]}"
12_4_0,50.65571975708008,2023-01-13,Kelapa_Gading,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90625617485397,-6.1557054844290215]}"
