system:index,dummy,lat,lon,s5p_co,s5p_no2,s5p_o3,s5p_so2,.geo
122_0,1,-6.283715412416053,106.86807777527888,0.035733284792108806,1.0706307512002137E-4,0.11589737516394456,3.756407386387903E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.86807777527888,-6.283715412416053]}"
123_0,1,-6.283715412416053,106.87706092812007,0.035705313608260125,1.1260842061542447E-4,0.11588491662344583,9.514583797559084E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87706092812007,-6.283715412416053]}"
124_0,1,-6.283715412416053,106.88604408096127,0.035704882167397756,1.0907303976127403E-4,0.11573294550172458,1.3281408272913513E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.88604408096127,-6.283715412416053]}"
125_0,1,-6.283715412416053,106.89502723380247,0.03545677108579419,1.093291375477317E-4,0.11588217131785512,1.155513305354938E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89502723380247,-6.283715412416053]}"
126_0,1,-6.283715412416053,106.90401038664366,0.03543897505324898,1.0728872915471933E-4,0.1158821713180198,1.101484687231966E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90401038664366,-6.283715412416053]}"
127_0,1,-6.274732259574858,106.76027994118454,0.03552528098228509,1.0490226362626258E-4,0.11566341849764182,8.269473359270085E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.76027994118454,-6.274732259574858]}"
128_0,1,-6.274732259574858,106.76926309402573,0.03552528098228509,1.0490226362626258E-4,0.11566341849764182,8.269473359270085E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.76926309402573,-6.274732259574858]}"
129_0,1,-6.274732259574858,106.77824624686693,0.0357736684381747,1.0783427413285686E-4,0.11566843950027043,1.3253703914561617E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.77824624686693,-6.274732259574858]}"
130_0,1,-6.274732259574858,106.78722939970812,0.03550428998242479,1.1387919249750703E-4,0.11560436966176788,1.9106167930212884E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.78722939970812,-6.274732259574858]}"
131_0,1,-6.274732259574858,106.79621255254932,0.0356457550078923,1.1278726742612141E-4,0.11557707010758975,2.016745274888144E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.79621255254932,-6.274732259574858]}"
132_0,1,-6.274732259574858,106.80519570539052,0.03529196726763412,1.0937237560203393E-4,0.11556360011675765,1.6429493818787499E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.80519570539052,-6.274732259574858]}"
133_0,1,-6.274732259574858,106.81417885823171,0.03551784157755906,1.0793394418830218E-4,0.11556890445326323,4.2311173198640944E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.81417885823171,-6.274732259574858]}"
134_0,1,-6.274732259574858,106.82316201107291,0.035791006317517575,1.0993495765685228E-4,0.11555249409283569,1.1522753993624422E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.82316201107291,-6.274732259574858]}"
135_0,1,-6.274732259574858,106.83214516391409,0.03601016104227178,1.086832307921155E-4,0.11564618865464958,-3.5159322663947445E-7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.83214516391409,-6.274732259574858]}"
136_0,1,-6.274732259574858,106.84112831675529,0.03578890984252053,1.0969548843992226E-4,0.11573254899351962,5.826920149929028E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.84112831675529,-6.274732259574858]}"
137_0,1,-6.274732259574858,106.85011146959648,0.03581237931807179,1.0890690464287045E-4,0.1158937029539843,6.599968151965999E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85011146959648,-6.274732259574858]}"
138_0,1,-6.274732259574858,106.85909462243768,0.03581237931807179,1.0890690464287045E-4,0.1158937029539843,6.599968151965999E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85909462243768,-6.274732259574858]}"
139_0,1,-6.274732259574858,106.86807777527888,0.03606500650544527,1.0910585837884169E-4,0.11580577801968031,1.3900854537518862E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.86807777527888,-6.274732259574858]}"
140_0,1,-6.274732259574858,106.87706092812007,0.03606839045556143,1.1260842157690624E-4,0.11588463301276358,1.2887772754748009E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87706092812007,-6.274732259574858]}"
141_0,1,-6.274732259574858,106.88604408096127,0.03605437900129221,1.0909404449105529E-4,0.11577473208326976,1.3427223166239782E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.88604408096127,-6.274732259574858]}"
142_0,1,-6.274732259574858,106.89502723380247,0.03573217968745725,1.0924665253334847E-4,0.1158821713178654,1.3368521681720163E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89502723380247,-6.274732259574858]}"
143_0,1,-6.274732259574858,106.90401038664366,0.035573107669184964,1.092466518398805E-4,0.11589844152579483,2.0969785651592044E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90401038664366,-6.274732259574858]}"
144_0,1,-6.265749106733662,106.75129678834334,0.03552338882715499,1.0778260548243347E-4,0.11563982814543455,4.496324973343839E-6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.75129678834334,-6.265749106733662]}"
145_0,1,-6.265749106733662,106.76027994118454,0.03550756946209007,1.0785132568959305E-4,0.11565273851165725,5.8504794651574036E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.76027994118454,-6.265749106733662]}"
146_0,1,-6.265749106733662,106.76926309402573,0.03550756946209007,1.0785132568959305E-4,0.11565273851165725,5.8504794651574036E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.76926309402573,-6.265749106733662]}"
147_0,1,-6.265749106733662,106.77824624686693,0.03550756946203961,1.1266954498857285E-4,0.11564663797610016,1.1596085420094588E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.77824624686693,-6.265749106733662]}"
148_0,1,-6.265749106733662,106.78722939970812,0.035525280982234606,1.1889835877802535E-4,0.11564050436043163,1.1905774033239797E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.78722939970812,-6.265749106733662]}"
149_0,1,-6.265749106733662,106.79621255254932,0.03551430255177552,1.0828872404024797E-4,0.11564582335064708,1.72064655386139E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.79621255254932,-6.265749106733662]}"
150_0,1,-6.265749106733662,106.80519570539052,0.035330211419996406,1.0822200311389828E-4,0.11560908042848837,1.6046858321999366E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.80519570539052,-6.265749106733662]}"
151_0,1,-6.265749106733662,106.81417885823171,0.03526962986430263,1.0859126565868054E-4,0.115659365719054,6.475881095926233E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.81417885823171,-6.265749106733662]}"
152_0,1,-6.265749106733662,106.82316201107291,0.03576254822165246,1.1019015402872252E-4,0.11575151963665542,7.05877881329607E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.82316201107291,-6.265749106733662]}"
153_0,1,-6.265749106733662,106.83214516391409,0.03590237680803448,1.0919010183576903E-4,0.11563555651198525,-7.476599608972941E-6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.83214516391409,-6.265749106733662]}"
154_0,1,-6.265749106733662,106.84112831675529,0.03576855088132861,9.726891283173115E-5,0.11580497780386093,-2.5041219942032932E-6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.84112831675529,-6.265749106733662]}"
155_0,1,-6.265749106733662,106.85011146959648,0.03552849275531774,9.994417617043165E-5,0.1158621015985549,6.599967896876582E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85011146959648,-6.265749106733662]}"
156_0,1,-6.265749106733662,106.85909462243768,0.03552849275531774,9.994417617043165E-5,0.1158621015985549,6.599967896876582E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85909462243768,-6.265749106733662]}"
157_0,1,-6.265749106733662,106.86807777527888,0.03572346111979512,1.0508550832663549E-4,0.11565645365262486,7.324617698682489E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.86807777527888,-6.265749106733662]}"
158_0,1,-6.265749106733662,106.87706092812007,0.035512316971967585,1.0858852966443887E-4,0.11581630301629836,9.3246584583409E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87706092812007,-6.265749106733662]}"
159_0,1,-6.265749106733662,106.88604408096127,0.03568944369879562,1.0905424481039573E-4,0.11581651866454767,1.2887772754786926E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.88604408096127,-6.265749106733662]}"
160_0,1,-6.265749106733662,106.89502723380247,0.03554604552724547,1.0887249290206837E-4,0.11588407728137376,1.0469462722533616E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89502723380247,-6.265749106733662]}"
161_0,1,-6.265749106733662,106.90401038664366,0.03525044712854736,1.0350604861727398E-4,0.11587527145925834,9.329571011620814E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90401038664366,-6.265749106733662]}"
162_0,1,-6.256765953892468,106.76027994118454,0.03548435028645328,1.103068949508305E-4,0.11582024339918202,9.753373242870164E-6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.76027994118454,-6.256765953892468]}"
163_0,1,-6.256765953892468,106.76926309402573,0.03548435028645328,1.103068949508305E-4,0.11582024339918202,9.753373242870164E-6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.76926309402573,-6.256765953892468]}"
164_0,1,-6.256765953892468,106.77824624686693,0.03547070899513486,1.2016263768946557E-4,0.11581306154298125,2.387230961174668E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.77824624686693,-6.256765953892468]}"
165_0,1,-6.256765953892468,106.78722939970812,0.035517145928910844,1.2087640551755117E-4,0.11586178401946044,3.832869451976937E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.78722939970812,-6.256765953892468]}"
166_0,1,-6.256765953892468,106.79621255254932,0.035472749186471635,1.2064298149311889E-4,0.11578201983853648,8.769240898795596E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.79621255254932,-6.256765953892468]}"
167_0,1,-6.256765953892468,106.80519570539052,0.0354724196418725,1.1167002778200819E-4,0.11565728259811563,2.7107822482038683E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.80519570539052,-6.256765953892468]}"
168_0,1,-6.256765953892468,106.81417885823171,0.03528856785116237,1.208776324603783E-4,0.11565155237922624,-3.052257397942189E-7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.81417885823171,-6.256765953892468]}"
169_0,1,-6.256765953892468,106.82316201107291,0.03577919850426139,1.1287681304215424E-4,0.11576897505373776,-1.1352619056772433E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.82316201107291,-6.256765953892468]}"
