system:index,dummy,lat,lon,viirs_ntl,.geo
141_0,1,-6.274732259574858,106.88604408096127,24.43059145171067,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.88604408096127,-6.274732259574858]}"
142_0,1,-6.274732259574858,106.89502723380247,20.338314182502177,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89502723380247,-6.274732259574858]}"
143_0,1,-6.274732259574858,106.90401038664366,22.928098678588867,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90401038664366,-6.274732259574858]}"
144_0,1,-6.265749106733662,106.75129678834334,35.89373253487252,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.75129678834334,-6.265749106733662]}"
145_0,1,-6.265749106733662,106.76027994118454,41.628366470336914,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.76027994118454,-6.265749106733662]}"
146_0,1,-6.265749106733662,106.76926309402573,38.638261343303476,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.76926309402573,-6.265749106733662]}"
147_0,1,-6.265749106733662,106.77824624686693,49.62643170047116,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.77824624686693,-6.265749106733662]}"
148_0,1,-6.265749106733662,106.78722939970812,47.204146222370426,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.78722939970812,-6.265749106733662]}"
149_0,1,-6.265749106733662,106.79621255254932,45.81402415722872,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.79621255254932,-6.265749106733662]}"
150_0,1,-6.265749106733662,106.80519570539052,45.814127470317636,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.80519570539052,-6.265749106733662]}"
151_0,1,-6.265749106733662,106.81417885823171,50.617556604845774,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.81417885823171,-6.265749106733662]}"
152_0,1,-6.265749106733662,106.82316201107291,41.09662691752116,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.82316201107291,-6.265749106733662]}"
153_0,1,-6.265749106733662,106.83214516391409,41.18815268239668,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.83214516391409,-6.265749106733662]}"
154_0,1,-6.265749106733662,106.84112831675529,39.0936996459961,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.84112831675529,-6.265749106733662]}"
155_0,1,-6.265749106733662,106.85011146959648,35.833221435546875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85011146959648,-6.265749106733662]}"
156_0,1,-6.265749106733662,106.85909462243768,42.23083128008926,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85909462243768,-6.265749106733662]}"
157_0,1,-6.265749106733662,106.86807777527888,40.702468954321944,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.86807777527888,-6.265749106733662]}"
158_0,1,-6.265749106733662,106.87706092812007,35.13731488314542,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87706092812007,-6.265749106733662]}"
159_0,1,-6.265749106733662,106.88604408096127,35.64189628932787,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.88604408096127,-6.265749106733662]}"
160_0,1,-6.265749106733662,106.89502723380247,31.100758158642314,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89502723380247,-6.265749106733662]}"
161_0,1,-6.265749106733662,106.90401038664366,27.304119985611713,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90401038664366,-6.265749106733662]}"
162_0,1,-6.256765953892468,106.76027994118454,39.11398394745175,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.76027994118454,-6.256765953892468]}"
163_0,1,-6.256765953892468,106.76926309402573,42.452893852291254,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.76926309402573,-6.256765953892468]}"
164_0,1,-6.256765953892468,106.77824624686693,43.83426305982802,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.77824624686693,-6.256765953892468]}"
165_0,1,-6.256765953892468,106.78722939970812,42.37153644210722,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.78722939970812,-6.256765953892468]}"
166_0,1,-6.256765953892468,106.79621255254932,49.14175450642904,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.79621255254932,-6.256765953892468]}"
167_0,1,-6.256765953892468,106.80519570539052,53.39090782299376,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.80519570539052,-6.256765953892468]}"
168_0,1,-6.256765953892468,106.81417885823171,51.861672299973506,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.81417885823171,-6.256765953892468]}"
169_0,1,-6.256765953892468,106.82316201107291,42.93171482701455,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.82316201107291,-6.256765953892468]}"
170_0,1,-6.256765953892468,106.83214516391409,39.889110789579505,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.83214516391409,-6.256765953892468]}"
171_0,1,-6.256765953892468,106.84112831675529,40.87085455817145,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.84112831675529,-6.256765953892468]}"
172_0,1,-6.256765953892468,106.85011146959648,42.14950490880896,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85011146959648,-6.256765953892468]}"
173_0,1,-6.256765953892468,106.85909462243768,40.89176061202069,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85909462243768,-6.256765953892468]}"
174_0,1,-6.256765953892468,106.86807777527888,42.93451110839844,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.86807777527888,-6.256765953892468]}"
