lat,lon,s5p_co,s5p_no2,s5p_o3,s5p_so2,modis_aod_047,viirs_ntl
-6.283715412416053,106.79621255254932,0.0349288167563479,0.00010453664524204673,0.1167541051278205,5.022366324475232e-05,419.0,46.12389322916667
-6.283715412416053,106.80519570539052,0.0348206455628362,0.00010298239196869346,0.1167579518501454,3.669462671627917e-05,419.75,50.69427630106608
-6.283715412416053,106.81417885823171,0.0348370949149548,0.00010493215683126368,0.1167659834254267,5.393327832342754e-05,402.6666666666667,41.35226356377036
-6.283715412416053,106.82316201107292,0.0348265683690889,0.00010382272193980934,0.1168818391176996,2.095578459713129e-05,396.0,39.861245522132286
-6.283715412416053,106.83214516391408,0.0348226170903925,0.00010709766449539672,0.1168735041100104,3.472189635829717e-05,389.6666666666667,36.42437207698822
-6.283715412416053,106.84112831675527,0.0348093909255494,0.00010765278603730442,0.1168762966941706,4.564687832933201e-05,387.5,38.37031936645508
-6.283715412416053,106.85011146959648,0.0348276059681368,0.0001075873485987194,0.1168722591869733,3.9785562968504685e-05,404.0,33.914068000261175
-6.283715412416053,106.85909462243768,0.0348276059681368,0.0001075873485987194,0.1168722591869733,3.9785562968504685e-05,398.7857142857143,33.14827407836914
-6.283715412416053,106.86807777527888,0.0347684687299175,0.00010684655539429085,0.1168766803589068,5.549935731626892e-05,400.75,35.100695972711264
-6.283715412416053,106.87706092812007,0.0348090272149999,0.00010783562260907533,0.1168763301327107,5.262565540890079e-05,395.0,35.97103259437963
-6.283715412416053,106.88604408096128,0.0349985226749922,0.00010822786265854618,0.1168695420630155,5.1944529241405e-05,396.6666666666667,27.82732340005728
-6.283715412416053,106.89502723380248,0.035020348082873,0.0001047197195014054,0.116869193583493,5.461743001482538e-05,411.25,26.66492685221009
-6.283715412416053,106.90401038664366,0.034794747061692,0.00010310362509986727,0.1168708427188342,5.4078559206538287e-05,413.0,31.66960221006159
-6.274732259574858,106.76027994118454,0.0350581852825461,0.0001084774070976338,0.1166535238991214,2.034378818014656e-05,420.5,40.7603231076841
