lat,lon,predicted_class,predicted_label
-6.148968119798125,106.81417885823171,1,MEDIUM
-6.148968119798125,106.82316201107292,1,MEDIUM
-6.148968119798125,106.83214516391408,1,MEDIUM
-6.148968119798125,106.84112831675527,1,MEDIUM
-6.148968119798125,106.85011146959648,1,MEDIUM
-6.148968119798125,106.85909462243768,1,MEDIUM
-6.148968119798125,106.86807777527888,0,GOOD
-6.148968119798125,106.87706092812007,1,MEDIUM
-6.148968119798125,106.88604408096128,1,MEDIUM
-6.148968119798125,106.89502723380248,1,MEDIUM
-6.148968119798125,106.90401038664366,1,MEDIUM
-6.148968119798125,106.91299353948486,1,MEDIUM
-6.148968119798125,106.92197669232606,0,GOOD
-6.148968119798125,106.93095984516724,1,MEDIUM
-6.148968119798125,106.93994299800843,1,MEDIUM
-6.148968119798125,106.94892615084964,2,UNHEALTHY
-6.148968119798125,106.95790930369084,2,UNHEALTHY
-6.148968119798125,106.96689245653202,2,UNHEALTHY
-6.13998496695693,106.69739787129618,2,UNHEALTHY
-6.13998496695693,106.70638102413736,1,MEDIUM
-6.13998496695693,106.71536417697855,0,GOOD
-6.13998496695693,106.72434732981976,1,MEDIUM
-6.13998496695693,106.73333048266096,1,MEDIUM
-6.13998496695693,106.74231363550214,1,MEDIUM
-6.13998496695693,106.75129678834334,1,MEDIUM
-6.13998496695693,106.76027994118454,2,UNHEALTHY
-6.13998496695693,106.76926309402572,1,MEDIUM
-6.13998496695693,106.77824624686691,1,MEDIUM
-6.13998496695693,106.78722939970812,0,GOOD
-6.13998496695693,106.79621255254932,1,MEDIUM
-6.13998496695693,106.80519570539052,0,GOOD
-6.13998496695693,106.81417885823171,1,MEDIUM
-6.13998496695693,106.82316201107292,1,MEDIUM
-6.13998496695693,106.83214516391408,1,MEDIUM
-6.13998496695693,106.84112831675527,2,UNHEALTHY
-6.13998496695693,106.85011146959648,2,UNHEALTHY
-6.13998496695693,106.85909462243768,1,MEDIUM
-6.13998496695693,106.86807777527888,1,MEDIUM
-6.13998496695693,106.87706092812007,1,MEDIUM
