s5p_co,s5p_no2,s5p_o3,s5p_so2,viirs_VIIRS_NTL
0.9606001155485129,-0.13403332816179164,1.4507965493931891,-0.49496563122176984,0.5099434580834049
0.07692786038907433,1.258811196262288,-0.050506003516249336,0.0021843520317268734,0.3721291667483489
-0.4510356883353911,0.3073588697013825,0.008078346995074774,-0.48974388905800864,0.5360574629156194
-1.3899650191899753,-0.9073116650485546,0.482078881376013,-3.82585553091509,-0.47791355809293096
2.5556913813276823,0.4028208506744863,0.12591361858521977,-0.5358116594174777,-0.08440646327805817
0.3792979016693759,3.7065510121766176,-0.7106861678148627,-1.4240698335330646,-0.46946899101952805
1.3692572932146365,0.8652479167581995,-0.032519793104532575,0.26633125697003435,1.2681009601187025
0.7913052716719421,0.9590972636078934,0.27949589438807776,0.603740988635225,-0.24512894383431616
-0.3566018975644397,-0.2603751329822999,0.18313314436731154,0.25866972033012403,1.7317260338469023
1.388547433814646,-0.08381732090457437,0.49062818544835923,-0.7411039564562764,-0.25586927883067817
1.6049938841883582,0.21430694177028664,1.4457713018169356,-0.1793188754168089,1.4234698255782336
2.284365537604832,1.1222360974359062,1.1653252938865848,-0.17847933050350134,-0.4196061356073881
-0.783139820470441,-0.9132056197373395,-1.9468857363493932,0.11612071772734373,-0.6584093033524757
-0.34454530777341763,-0.014250236897193576,-0.1007580520571551,0.1794657671056692,0.4065574929899953
0.1360068093621297,-0.7037324747060435,0.27775841396163875,2.2247447432190244,-0.09547132566051501
-0.7941616803830949,-0.6037255934844565,-0.004113548567858885,-0.3524350977924068,-0.20670881370652533
-0.30038008989306375,-0.3751553605127747,-0.33292542016991106,-0.5873847288072853,-0.7878163123163953
-0.9817179142545879,1.0609053875774974,-0.46304488722442005,-0.36638960687216826,0.29085921634996087
-0.2768829781145988,-0.1168264811766354,0.5878840333262142,-0.14860407544363854,1.7317260338469023
1.0201062612067695,-0.1635971247969736,0.49849023793419056,-0.869467549593826,0.8672937546744337
0.792274340634435,0.23029884357176558,0.21506093283975056,2.193125104784627,0.44564690860286404
0.8270475992770937,0.9549621552283694,1.2559042052759422,0.4951359049142039,-0.233763797482037
0.082059153898858,-0.6005103592825088,1.6365747219345186,0.12419551936657239,-0.05851509351967423
2.0666707158208486,0.018415597702977005,0.8770831546087309,-0.6551366937602414,0.6067298636796883
