date,station,s5p_co,s5p_no2,s5p_o3,s5p_so2
2024-03-19,kebon jeruk,0.027568115196875,6.185449620727336e-05,0.1082790773952245,-0.000101
2024-03-19,kelapa gading,0.0258276570702354,0.00010237801387462867,0.1081034036389648,-3.85e-05
2024-03-19,komp angkasa pura jakarta pusat,0.0249976027034711,8.308771938063798e-05,0.1081034036389648,2.1689227048867485e-06
2024-03-19,lubang buaya,0.0242369270271012,6.119017021244402e-05,0.109635165676864,0.0002495824162343517
2024-03-19,us consulate jakarta pusat,0.0249976027034711,8.308771938063798e-05,0.1081034036389648,2.1689227048867485e-06
2024-03-20,kelapa gading,,,,0.0008019209433436106
2024-03-20,lubang buaya,,,,0.0004621652254733101
2024-03-21,bundaran hotel indonesia,0.0299569489726944,0.0001028638129775469,0.1103361018635221,-0.000384
2024-03-21,jagakarsa,0.0291582010482758,9.421832141576056e-05,0.1105247009920356,-0.000384
2024-03-21,jalan bdn ii,0.0307481015473805,7.883498279934154e-05,0.1091379172763502,-0.000318
2024-03-21,kebon jeruk,0.0297271863101665,8.142138144015807e-05,0.1103361018635221,-0.000384
2024-03-21,kelapa gading,0.0288761974619346,0.00010927583269980188,0.1106164865310156,-3.73e-05
2024-03-21,komp angkasa pura jakarta pusat,0.0291582010482758,9.421832141576056e-05,0.1106164865310156,-3.73e-05
2024-03-21,lubang buaya,0.0307879185663653,8.393403844845164e-05,0.1094213913000314,
2024-03-21,us consulate jakarta pusat,0.0291582010482758,9.421832141576056e-05,0.1105247009920356,-3.73e-05
2024-03-22,bundaran hotel indonesia,,9.455217112108792e-05,0.111989940768265,
2024-03-22,jagakarsa,0.0341034572680686,7.895298791055612e-05,0.1116384885209174,
2024-03-22,jalan bdn ii,0.0299529734465494,7.891668778830893e-05,0.111388676336432,
2024-03-22,kebon jeruk,,0.00010177083155526372,0.111989940768265,
2024-03-22,kelapa gading,0.0335614092348909,6.200965406850092e-05,0.1106187472984274,
2024-03-22,komp angkasa pura jakarta pusat,0.0341034572680686,7.895298791055612e-05,0.1106187472984274,
2024-03-22,lubang buaya,,8.785938075029093e-05,0.1122624556102114,
2024-03-22,us consulate jakarta pusat,0.0341034572680686,7.895298791055612e-05,0.1116384885209174,
2024-03-24,bundaran hotel indonesia,0.0342892284851667,0.00014132772758326703,0.1138789810776244,-8.35e-05
2024-03-24,jagakarsa,0.0376358537885315,0.00011816767563554744,0.1146418064116089,-8.35e-05
2024-03-24,jalan bdn ii,0.0347049933637324,0.00013894316439951168,0.1130081415895594,
2024-03-24,kebon jeruk,0.0352198539874211,0.00016481179505738834,0.1138789810776244,
2024-03-24,kelapa gading,0.0357558131264744,9.698249069654838e-05,0.1151566480664657,-4.63e-05
2024-03-24,komp angkasa pura jakarta pusat,0.0376358537885315,0.00011816767563554744,0.1151566480664657,-8.35e-05
2024-03-24,lubang buaya,0.0357635168771343,0.00013208310259985856,0.1134354752251238,
2024-03-24,us consulate jakarta pusat,0.0376358537885315,0.00011816767563554744,0.1151566480664657,-8.35e-05
2024-03-25,bundaran hotel indonesia,,0.00012481225244231165,0.1137157582182038,-0.000595
2024-03-25,jagakarsa,,0.00010730919424844448,0.1132382894124691,-0.000595
2024-03-25,jalan bdn ii,0.0322606304466087,0.00017286979933177742,0.1132456275107239,
2024-03-25,kebon jeruk,,0.0001294428259330102,0.1137157582182038,
2024-03-25,kelapa gading,,0.00010946668157509472,0.1139900547380769,0.00032375493692143306
2024-03-25,komp angkasa pura jakarta pusat,,0.00010730919424844448,0.1139900547380769,-0.000595
2024-03-25,lubang buaya,,0.0001400743802140321,0.1133764464016919,
2024-03-25,us consulate jakarta pusat,,0.00010730919424844448,0.1139900547380769,-0.000595
2024-03-26,bundaran hotel indonesia,,,0.1149940264237494,
2024-03-26,jagakarsa,,,0.1149829574358734,
2024-03-26,jalan bdn ii,,,0.1154888302218405,
2024-03-26,kebon jeruk,,,0.1149940264237494,
2024-03-26,kelapa gading,,0.0001360834582397733,0.1148365482708939,
2024-03-26,komp angkasa pura jakarta pusat,,0.0001360834582397733,0.1148365482708939,
2024-03-26,lubang buaya,,0.00015140818251736758,0.115476725593941,
2024-03-26,us consulate jakarta pusat,,,0.1148365482708939,
2024-03-27,bundaran hotel indonesia,,0.00010780110361433908,0.1140880068176274,
2024-03-27,jagakarsa,,0.00011150077995905908,0.1140325648352502,
2024-03-27,jalan bdn ii,,0.0001765531524458973,0.1146759383744355,
2024-03-27,kebon jeruk,,0.0001282166478329367,0.1140880068176274,
2024-03-27,kelapa gading,,,0.1140729155040777,
2024-03-27,komp angkasa pura jakarta pusat,,0.00011150077995905908,0.1140729155040777,
2024-03-27,lubang buaya,,0.00017417317065269755,0.1142495444890834,
2024-03-27,us consulate jakarta pusat,,0.00011150077995905908,0.1140729155040777,
2024-03-28,bundaran hotel indonesia,0.0460336922849843,0.0003322194380435332,0.1137306032569115,
2024-03-28,jagakarsa,0.0440924470770115,0.0001657889165943524,0.1136567265958661,
2024-03-28,jalan bdn ii,0.0343815328652852,0.0001650402957782986,0.1127882948802202,
2024-03-28,kebon jeruk,0.0470241835180662,0.00023222970209102144,0.1137306032569115,-0.000165
2024-03-28,kelapa gading,0.0478492390596241,0.00016889278121118745,0.1139385224274161,
2024-03-28,komp angkasa pura jakarta pusat,0.0440924470770115,0.0001657889165943524,0.1139385224274161,
2024-03-28,lubang buaya,0.037119087798747,0.00021377203090382072,0.1132210250052372,
2024-03-28,us consulate jakarta pusat,0.0440924470770115,0.0001657889165943524,0.1139385224274161,
2024-03-29,bundaran hotel indonesia,0.0333203794759952,0.00012574962366979442,0.1141567136670791,-0.000244
2024-03-29,jagakarsa,0.0362832287497405,0.000103097143867251,0.114481819131251,-0.000244
2024-03-29,jalan bdn ii,0.0380173063089605,0.00010049673744870535,0.1134705168827378,
2024-03-29,kebon jeruk,0.0339122450052269,0.000151641931587293,0.1141567136670791,-0.000245
2024-03-29,kelapa gading,0.0358807011003373,7.69321524025441e-05,0.1132930952579551,-6.46e-05
2024-03-29,komp angkasa pura jakarta pusat,0.0362832287497405,0.000103097143867251,0.1132930952579551,-0.000244
2024-03-29,lubang buaya,0.0389779592683314,8.991652927446811e-05,0.1134980829190102,
2024-03-29,us consulate jakarta pusat,0.0362832287497405,0.000103097143867251,0.1132930952579551,-0.000244
2024-03-30,bundaran hotel indonesia,0.033138570370329,0.0001104579839459276,0.115683775296754,0.00028526203360210406
2024-03-30,jagakarsa,,9.226599212568824e-05,0.1157357790773638,0.00028526203360210406
2024-03-30,jalan bdn ii,0.0359484066285608,0.0001415937367022968,0.1146598306094978,
2024-03-30,kebon jeruk,,9.75690607702334e-05,0.115683775296754,0.0002471911333618914
2024-03-30,kelapa gading,0.0319236216102648,7.656062817803688e-05,0.1148719234233704,-0.000171
2024-03-30,komp angkasa pura jakarta pusat,,9.226599212568824e-05,0.1148719234233704,0.00028526203360210406
2024-03-30,lubang buaya,0.0357106404237373,0.00010861863201942144,0.1129861881660805,
2024-03-30,us consulate jakarta pusat,,9.226599212568824e-05,0.1148719234233704,0.00028526203360210406
2024-03-31,bundaran hotel indonesia,0.0410517430606978,0.0001904280587369304,0.1128048124853108,
2024-03-31,jagakarsa,0.0414615795072246,0.0001605241956906767,0.1128249736818093,
2024-03-31,jalan bdn ii,0.0393495001502395,0.0001582929034434633,0.1121555080869948,
2024-03-31,kebon jeruk,0.0410517430606978,0.0001904280587369304,0.1128048124853108,
2024-03-31,kelapa gading,,0.00015705400728683938,0.113061774026296,
2024-03-31,komp angkasa pura jakarta pusat,,0.00015705400728683938,0.113061774026296,
2024-03-31,lubang buaya,,0.00023312136822295083,0.1130902992868829,
2024-03-31,us consulate jakarta pusat,0.0414615795072246,0.0001605241956906767,0.113061774026296,
2024-04-01,bundaran hotel indonesia,,,0.1119072253981329,
2024-04-01,jagakarsa,,,0.1121744881476519,
2024-04-01,jalan bdn ii,,0.0002165062806784793,0.1138259791170857,
2024-04-01,kebon jeruk,,,0.1119072253981329,
2024-04-01,kelapa gading,,,0.1117084535036047,
2024-04-01,komp angkasa pura jakarta pusat,,,0.1117084535036047,
2024-04-01,lubang buaya,,0.0002044150762753557,0.1134922939531253,
2024-04-01,us consulate jakarta pusat,,,0.1117084535036047,
2024-04-02,bundaran hotel indonesia,,0.0003265931969948144,0.1127558356151822,
2024-04-02,jagakarsa,,0.0002520390324720059,0.1129626266963725,
2024-04-02,jalan bdn ii,,0.00016375079343201713,0.1125965623117175,
2024-04-02,kebon jeruk,,0.0002671409401592799,0.1127558356151822,
2024-04-02,kelapa gading,,0.00017678318865379473,0.1133986472631356,
2024-04-02,komp angkasa pura jakarta pusat,,0.0002520390324720059,0.1133986472631356,
2024-04-02,lubang buaya,,0.0001673637781415036,0.1129257872386144,
2024-04-02,us consulate jakarta pusat,,0.0002520390324720059,0.1133986472631356,
2024-04-03,bundaran hotel indonesia,0.0293456956661402,0.0002372115783566192,0.1129542621049531,-0.000281
2024-04-03,jagakarsa,0.0309095334134399,0.00015890203982344371,0.1126853769430763,-0.000281
2024-04-03,jalan bdn ii,0.0274126946014529,0.0002664543617260103,0.1129833333878384,
2024-04-03,kebon jeruk,0.0304147585321235,0.00020287933425506457,0.1129542621049531,0.00017121227629096405
2024-04-03,kelapa gading,0.03112541328701,0.0001205427300779893,0.1135863388438347,4.1207143148233806e-05
2024-04-03,komp angkasa pura jakarta pusat,0.0309095334134399,0.00015890203982344371,0.1135863388438347,-0.000281
2024-04-03,lubang buaya,0.026154629702457,0.0002113966612114224,0.1118121013203687,
2024-04-03,us consulate jakarta pusat,0.0309095334134399,0.00015890203982344371,0.1135863388438347,-0.000281
2024-04-04,bundaran hotel indonesia,0.028658868747946,0.00018661734436298927,0.1143538506201186,0.0002749755490812055
2024-04-04,jagakarsa,0.036175584937237,0.00014323329149386633,0.1146232580358047,0.0002749755490812055
2024-04-04,jalan bdn ii,0.0314900722578751,0.0002126033651785929,0.1151183403762395,
2024-04-04,kebon jeruk,0.0330627866858375,0.00018747088194555136,0.1143538506201186,-0.000257
2024-04-04,kelapa gading,0.0367399307621748,0.00012577911979262432,0.1144095236291393,-0.000295
2024-04-04,komp angkasa pura jakarta pusat,0.036175584937237,0.00014323329149386633,0.1144095236291393,0.0002749755490812055
2024-04-04,lubang buaya,0.0308170389737943,0.000190033680952001,0.1150883069866118,
2024-04-04,us consulate jakarta pusat,0.036175584937237,0.00014323329149386633,0.1144095236291393,0.0002749755490812055
2024-04-05,kelapa gading,,,0.1148250972007684,
2024-04-05,komp angkasa pura jakarta pusat,,,0.1148250972007684,
2024-04-05,lubang buaya,,,0.1124820458612139,
2024-04-05,us consulate jakarta pusat,,,0.1148250972007684,
2024-04-06,bundaran hotel indonesia,,7.078208710108596e-05,0.1111532233671246,
2024-04-06,jagakarsa,,7.985853945955501e-05,0.1116542972078992,
2024-04-06,jalan bdn ii,,7.471693411737352e-05,0.1113309704175415,
2024-04-06,kebon jeruk,,7.078208710108596e-05,0.1111532233671246,
2024-04-06,kelapa gading,,9.742148447594366e-05,0.1118786835798269,
2024-04-06,komp angkasa pura jakarta pusat,,9.742148447594366e-05,0.1118786835798269,
2024-04-06,lubang buaya,,9.79969766923518e-05,0.1122971794726528,
2024-04-06,us consulate jakarta pusat,,7.985853945955501e-05,0.1118786835798269,
2024-04-07,bundaran hotel indonesia,0.0411238406489374,0.00020997525934291771,0.1134892007343275,
2024-04-07,jagakarsa,0.0440927419794947,0.00015416725304711885,0.1138791949902291,-7.12e-05
2024-04-07,jalan bdn ii,0.0337805856500559,8.761962470964812e-05,0.1134146718459029,
2024-04-07,kebon jeruk,0.0411238406489374,0.00020997525934291771,0.1134892007343275,
2024-04-07,kelapa gading,0.0364955930269085,0.00015860882298752405,0.1134577542792552,
2024-04-07,komp angkasa pura jakarta pusat,0.0364955930269085,0.00015860882298752405,0.1134577542792552,-7.12e-05
2024-04-07,lubang buaya,0.0339410203054693,8.100660534755987e-05,0.1128347930254463,
2024-04-07,us consulate jakarta pusat,0.0440927419794947,0.00015416725304711885,0.1134577542792552,
2024-04-08,bundaran hotel indonesia,0.0382542746495357,0.00016934123649914017,0.1131223365640486,-8.12e-05
2024-04-08,jagakarsa,0.0374606814317444,0.00012038297828459132,0.1132826377718533,-1.71e-05
2024-04-08,jalan bdn ii,,0.00012971949390977902,0.112990523702309,-0.000615
2024-04-08,kebon jeruk,0.0382542746495357,0.00016934123649914017,0.1131223365640486,-0.000451
2024-04-08,kelapa gading,0.0367548343501351,0.00011394518348454968,0.1136242602894832,9.328000544767222e-05
2024-04-08,komp angkasa pura jakarta pusat,0.0367548343501351,0.00011394518348454968,0.1136242602894832,-1.71e-05
2024-04-08,lubang buaya,,0.0001078875938043575,0.1132346825115522,
2024-04-08,us consulate jakarta pusat,0.0374606814317444,0.00012038297828459132,0.1136242602894832,-8.12e-05
2024-04-09,bundaran hotel indonesia,,0.00013622621063438985,0.1137006798170275,
2024-04-09,jagakarsa,,0.0001267063514462394,0.114044016589027,
2024-04-09,jalan bdn ii,,0.00012274156198988765,0.1135249587159516,
2024-04-09,kebon jeruk,0.0303521173023327,0.00013622621063438985,0.1137006798170275,
2024-04-09,kelapa gading,,0.0001225383239996996,0.1143797832310796,
2024-04-09,komp angkasa pura jakarta pusat,,0.0001225383239996996,0.1143797832310796,
2024-04-09,lubang buaya,,0.0001152371225883196,0.1135582584141474,
2024-04-09,us consulate jakarta pusat,,0.0001267063514462394,0.1143797832310796,
2024-04-10,bundaran hotel indonesia,,0.00015247778785472234,0.1128926255042845,-0.000532
2024-04-10,jagakarsa,,0.00015991952426863207,0.1134128626498403,-0.000105
2024-04-10,jalan bdn ii,,0.00010798011213598964,0.1130077404820931,-1.93e-05
2024-04-10,kebon jeruk,0.03296138892025,0.00016369494993212302,0.1128926255042845,-1.6e-05
